[Epoch: 30]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 31]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 31]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 31]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 32]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 32]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 32]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 33]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 33]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 33]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 34]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 34]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 34]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 35]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 35]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 35]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 36]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 36]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 36]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 37]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 37]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 37]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 38]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 38]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 38]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 39]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 39]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 39]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 40]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 40]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 40]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 41]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 41]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 41]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 42]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 42]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 42]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 43]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 43]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 43]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 44]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 44]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 44]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 45]: Phase train | Loss: 0.001 | Acc: 1.000
[Epoch: 45]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 45]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 46]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 46]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 46]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 47]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 47]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 47]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 48]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 48]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 48]: Phase test  | Loss: 0.000 | Acc: 1.000
[Epoch: 49]: Phase train | Loss: 0.000 | Acc: 1.000
[Epoch: 49]: Phase valid | Loss: 0.000 | Acc: 1.000
[Epoch: 49]: Phase test  | Loss: 0.000 | Acc: 1.000
